Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Sweden,Included / International,Price / International,Compare At Price / International,Status
7520-1,"Tömningspropp 60mm, 10-p - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,85.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7501-1,Mjölkfilter/ mastitindikator - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,235.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3712-3,Trippelslang VMS silikon transparent 4-p - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,860.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7504,Siltratt - INTE REDIGERAD,"",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,395.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7501-9,"Mjölkfilter 610x95, 200st. - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,445.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7501-6,"Mjölkfilter 460x80, 200st - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,275.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7520-3,"Tömningspropp 90mm, 9-p - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,115.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
3712-1,"Trippelslang VMS gummi 1,7m - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,195.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7520-2,"Tömningspropp 70mm, 10-p - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,85.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
7501-7,"Mjölkfilter 570 x 44, 100st. - INTE REDIGERAD","",Spengummimannen,Djur och tillbehör till husdjur,"","",true,Title,Default Title,,,,,,0.0,,0,continue,manual,235.00,,true,false,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
